AUT;Austria;Burgenland;Burgenlândia;Bundesländ|Länd;State;AT.BU;47.54144874;16.52020566
AUT;Austria;Kärnten;Carinthia|Caríntia|Carintia;Bundesländ|Länd;State;AT.KA;46.77359045;13.91496537
AUT;Austria;Niederösterreich;Lower Austria|Baixa-Áustria|Baja Austria|Niederdonau|Österreich unter der Enns;Bundesländ|Länd;State;AT.NO;48.27179062;15.74988355
AUT;Austria;Oberösterreich;Upper Austria|Alta-Áustria|Alta Austria|Österreich ober der Enns|Oberösterreich;Bundesländ|Länd;State;AT.OO;48.13816599;13.96429483
AUT;Austria;Salzburg;Salzburgo;Bundesländ|Länd;State;AT.SZ;47.38810951;13.08317168
AUT;Austria;Steiermark;Styria|Est¡ria|Estiria;Bundesländ|Länd;State;AT.ST;47.26914883;15.00874034
AUT;Austria;Tirol;Tyrol;Bundesländ|Länd;State;AT.TR;47.19550076;11.50003262
AUT;Austria;Vorarlberg;;Bundesländ|Länd;State;AT.VO;47.24014892;9.896366158
AUT;Austria;Wien;Vienna|Viena;Bundesländ|Länd;State;AT.WI;48.21141045;16.380038
AZE;Azerbaijan;Absheron;;İqtisadi Rayonu;Region;;40.45467646;49.43540292
AZE;Azerbaijan;Aran;;İqtisadi Rayonu;Region;;40.01901651;48.12735225
AZE;Azerbaijan;Daglig-Shirvan;;İqtisadi Rayonu;Region;;40.64052293;48.48073548
AZE;Azerbaijan;Ganja-Qazakh;;İqtisadi Rayonu;Region;;40.81297172;46.00283838
AZE;Azerbaijan;Kalbajar-Lachin;;İqtisadi Rayonu;Region;;39.77461383;46.33403269
AZE;Azerbaijan;Lankaran;;İqtisadi Rayonu;Region;;38.92181399;48.5697282
AZE;Azerbaijan;Nakhchivan;;İqtisadi Rayonu;Region;;39.303269;45.51581718
AZE;Azerbaijan;Quba-Khachmaz;;İqtisadi Rayonu;Region;;41.27592398;48.58254199
AZE;Azerbaijan;Shaki-Zaqatala;;İqtisadi Rayonu;Region;;41.23246386;47.11151326
AZE;Azerbaijan;Yukhari-Karabakh;;İqtisadi Rayonu;Region;;39.77879271;46.95745737
BDI;Burundi;Bubanza;;Province;Province;BI.BB;-3.124556032;29.39933338
BDI;Burundi;Bujumbura Mairie;;Province;Province;BI.BM;-3.383808534;29.33621876
BDI;Burundi;Bujumbura Rural;Usumbura;Province;Province;BI.BU;-3.499058955;29.39694079
BDI;Burundi;Bururi;;Province;Province;BI.BR;-3.891090637;29.55467315
